State,Date of update,Link,UI for work closures,UI for work closures notes,UI/DI for quarantine,UI/DI for quarantine notes,UI/DI for illness,UI/DI for caretaking,UI/DI for illness/family illness,UI/DI for illness/family notes,UI for school closures,UI for school closures notes,UI/DI for 1099 or gig economy,UI/DI for 1099 or gig economy notes,Date,Link,Emergency Worker Classification Expanded,Emergency Worker Classification Expanded Notes,Date,Link,New sick pay law in place,Sick pay notes,Reimbursement for employers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,3/18,https://www.labor.alabama.gov/Coronavirus%20Unemployment%20Benefits%20FAQ.pdf,Yes,,Yes,,No,Yes,Yes,Care for family member only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,3/18,https://www.thv11.com/article/news/health/coronavirus/arkansas-to-make-it-easier-to-apply-for-unemployment/91-7bc702a3-5c43-4f20-9bb1-be55633f252a,Yes,,,,,,Yes,One week waiting period waived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
CA,3/18,https://www.edd.ca.gov/about_edd/coronavirus-2019.htm,Yes,,Yes,,,Yes,Yes,"may use sick leave for illness, may qualify for CA Paid Family Leave if caring for family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - Bay Area,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - LA,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - SF,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3/18,https://www.colorado.gov/pacific/cdle/unemployment-insurance-worker-faqs,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,3/18,https://www.ctdol.state.ct.us/DOLCOVIDFAQ.PDF,Yes,,Yes,,Maybe,Maybe,Yes,"Case by case, unlikley if caretaking, maybe if sick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,3/18,https://laborfiles.delaware.gov/c19/UI-FAQ.pdf,Yes,,Yes,,Yes,Yes,Yes,Yes for self and minor child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,3/18,https://www.iowaworkforcedevelopment.gov/updates-and-resources-about-covid-19,Yes,,Yes,,,,Yes,"Must use PTO first. Yes for Illness, maybe for caretaking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,Yes,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,3/18,https://www2.illinois.gov/ides/Pages/COVID-19-and-Unemployment-Benefits.aspx,Yes,,Yes,,Yes,Yes,Yes,Yes for self or child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - Chicago,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,3/18,https://www.in.gov/dwd/19.htm,Yes,,Yes,,,Yes,Yes,Yes for child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,3/19,https://www.dol.ks.gov/docs/default-source/default-document-library/ui-covid19-faqs.pdf?sfvrsn=3b4c881f_12,Yes,Must not be working but eligible to work,Yes,may use sick pay if quarantined,,Yes,Yes,Yes if caretaking,Yes,May qualify TEFAP and child care assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,3/19,https://www.kentucky.com/news/coronavirus/article241228426.html,Yes,Waiting period waived,Yes,,,,Yes,Waiting period waived,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,3/19,http://www.laworks.net/Downloads/PR/COVID_19_Information.pdf,Yes,Week waiting period waived,Yes,,,,Yes,Must use any sick/paid leave time before applying for UI ,,,,,,,,,,,yes ,may use sick pay if quarantined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA - New Orleans,3/19,http://www.laworks.net/Downloads/PR/COVID_19_Information.pdf,Yes,Week waiting period waived,Yes,,,,Yes,Must use any sick/paid leave time before applying for UI ,,,,,,,,,,,Yes,Requires employers to provide accrued paid sick leave to employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,3/19,https://www.mass.gov/resource/information-on-unemployment-and-coronavirus-covid-19,Yes,One week waiting period waived,Yes,May receive benefits if asked to quarantine,,Maybe,Yes,May receive benefits to care for family member,Yes,EEC is establishing a process to approve Exempt Emergency Child Care Programs,,,,,,,,,yes,Use sick/employment paid leave before filing for UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA - Boston,3/19,https://www.mass.gov/resource/information-on-unemployment-and-coronavirus-covid-19,Yes,One week waiting period waived,Yes,May receive benefits if asked to quarantine,,Maybe,Yes,May receive benefits to care for family member,Yes,EEC is establishing a process to approve Exempt Emergency Child Care Programs,,,,,,,,,yes,Use sick/employment paid leave before filing for UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,3/19,https://www.michiganradio.org/post/because-coronavirus-whitmer-expands-unemployment-benefits-michigan-workers,Yes,Eligibility extended to april 14th ,Yes,Will receive 14 days of pay if forced to quarantine,,Yes,Yes,Yes if caring for family member,,,,,,,,,,,yes,Don't have to use all sick pay before applying for UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
