time_updated,long,placename,placenameformap,state,levelofgovernmentlocalstatenational,typeofaction,linktosourcenewspressreleaseetc.,datesineffect
2020-03-26T03:29:29.113Z,,HUD,,,Federal,Eviction and Foreclosure Moratorium,https://www.hud.gov/sites/dfiles/OCHCO/documents/20-04hsgml.pdf,
2020-03-26T03:29:29.113Z,,USDA,,,Federal,"Food Assistance, SNAP",https://www.usda.gov/media/press-releases/2020/03/10/secretary-perdue-announces-proactive-flexibilities-feed-children,
2020-03-26T03:29:29.113Z,,Congress,,,Federal,Emergency Relief Package,https://docs.house.gov/billsthisweek/20200309/BILLS-116hr6201-SUS.pdf,
2020-03-26T03:29:29.113Z,,White House,,,Federal,Emergency Relief Package,https://www.npr.org/2020/03/17/816822215/congress-weighs-new-massive-wave-of-emergency-funding-to-address-coronavirus,
2020-03-26T03:29:29.113Z,,Congress,,,Federal,Familes First Corona Virus Response Act (HR 6201),https://docs.house.gov/billsthisweek/20200309/BILLS-116hr6201-SUS.pdf,
2020-03-26T03:29:29.113Z,,CMS,,,Federal,Expansion of Telehealth in Medicare,https://www.cms.gov/newsroom/fact-sheets/medicare-telemedicine-health-care-provider-fact-sheet,
2020-03-26T03:29:29.113Z,,FEMA,,,Federal,,https://www.vox.com/2020/3/13/21178414/trump-coronavirus-national-emergency-state-funding,
2020-03-26T03:29:29.113Z,,FEMA,,,Federal,,https://www.fema.gov/news-release/2020/03/13/president-donald-j-trump-directs-fema-support-under-emergency-declaration,
2020-03-26T03:29:29.113Z,-86.808889,Alabama - Birmingham,Birmingham,AL,Local,Moratorium on Utility Shutoffs,https://www.al.com/news/2020/03/birmingham-water-works-wont-cut-your-water-off-during-coronavirus-outbreak.html,No water shut-offs
2020-03-26T03:29:29.113Z,-86.9833,Alabama - Decatur,Decatur,AL,Local,Moratorium on Utility Shutoffs,https://twitter.com/decaturdaily/status/1238572311676141575?s=20,"No water shut-offs ""until further notice"""
2020-03-26T03:29:29.113Z,-88.0399,Alabama - Mobile,Mobile,AL,Local,Moratorium on Utility Shutoffs,https://www.fox10tv.com/news/coronavirus/mawss-suspends-disconnections-for-nonpayment-of-water-bills/article_cdaa4ef6-68b6-11ea-9b22-1fb68ae45069.html,
2020-03-26T03:29:29.113Z,-85.6114,Alabama - Piedmont,Piedmont,AL,Local,Moratorium on Utility Shutoffs,https://twitter.com/BurkhalterEddie/status/1238102719895867393?s=20,Thru mid-April
2020-03-26T03:29:29.113Z,-149.9003,Alaska - Anchorage,Anchorage,AK,Local,Moratorium on Utility Shutoffs,https://twitter.com/ForrestDunbarAK/status/1240066480353525761?s=20,Duration of disaster declaration
2020-03-26T03:29:29.113Z,,Arizona,Arizona,AZ,State,Eviction Moratorium,https://www.verdenews.com/news/2020/mar/24/governor-imposes-eviction-moratorium-until-july-23/,Thru July 23 for tenants experiencing loss of income due to coronavirus
2020-03-26T03:29:29.113Z,-111.5496,Arizona - Apache Junction,Apache Junction,AZ,Local,Moratorium on Utility Shutoffs,"https://www.yourvalley.net/apache-junction-independent/stories/city-of-apache-junction-to-follow-social-distancing-recommendations-library-mgc-temporarily-close,148116",
2020-03-26T03:29:29.113Z,-111.6513,Arizona - Flagstaff,Flagstaff,AZ,Local,Moratorium on Utility Shutoffs,https://twitter.com/CityofFlagstaff/status/1240762445427163136?s=20,
2020-03-26T03:29:29.113Z,-112.074,Arizona - Phoenix,Phoenix,AZ,Local,Moratorium on Utility Shutoffs,https://twitter.com/MayorGallego/status/1238163868876025858?s=20,Reconnecting currently disconnected
2020-03-26T03:29:29.113Z,-111.94,Arizona - Tempe,Tempe,AZ,Local,Moratorium on Utility Shutoffs,https://www.tempe.gov/Home/Components/News/News/14120/1546?backlist=%2fgovernment%2fcommunication-and-media-relations,"""Until further notice"""
2020-03-26T03:29:29.113Z,-110.926389,Arizona - Pima County (Tucson),Pima County,AZ,Local,Eviction Moratorium,https://www.tucsonweekly.com/TheRange/archives/2020/03/18/pima-county-constables-no-evictions-during-covid-19-outbreak,Constables will not execute evictions until further notice
2020-03-26T03:29:29.113Z,-94.1719,Arkanasas - Fayetteville,Fayetteville,AR,Local,Moratorium on Utility Shutoffs,http://www.fayetteville-ar.gov/CivicSend/ViewMessage/Message/106992,
2020-03-26T03:29:29.113Z,-94.1185,Arkansas - Rodgers,Rodgers,AR,Local,Moratorium on Utility Shutoffs,https://www.nwaonline.com/news/2020/mar/17/rogers-halts-water-disconnections-20200/?utm_medium=social&utm_source=twitter_nwademgaz,
2020-03-26T03:29:29.113Z,-94.1288,Arkansas - Springdale,Springdale,AR,Local,Moratorium on Utility Shutoffs,https://www.springdalewater.com/,Until April 30
2020-03-26T03:29:29.113Z,,California,California,CA,State,"Advisory to Suspend Evictions, Utility Shutoffs",https://www.gov.ca.gov/wp-content/uploads/2020/03/3.16.20-Executive-Order.pdf,Thru May 31
2020-03-26T03:29:29.113Z,,California,California,CA,State,Hotels as Housing for Homeless,https://www.sacbee.com/news/local/article241216061.html,
2020-03-26T03:29:29.113Z,-122.270833,California - Alameda County (Oakland),Alameda County,CA,Local,Eviction Moratorium,https://twitter.com/ACSOSheriffs/status/1239672352213839872,Sheriff's office suspending evictions until further notice
2020-03-26T03:29:29.113Z,-124.090556,California - Arcata,Arcata,CA,Local,Moratorium on Utility Shutoffs,https://lostcoastoutpost.com/2020/mar/20/arcata-consider-moratorium-evictions-are-related-c/,No water shutoffs
2020-03-26T03:29:29.113Z,-122.1586,California - Benicia,Benicia,CA,Local,Moratorium on Utility Shutoffs,https://patch.com/california/benicia/benicia-pauses-utility-disconnections-during-coronavirus-crisis,
2020-03-26T03:29:29.113Z,-122.272778,California - Berkeley,Berkeley,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/BerkeleyCOVID19EmergencyOrdinance.pdf,Duration of state of emergency
2020-03-26T03:29:29.113Z,-118.328333,California - Burbank,Burbank,CA,Local,Eviction Moratorium,https://www.latimes.com/socal/burbank-leader/news/story/2020-03-18/burbank-places-moratorium-on-evictions,Thru April 30
2020-03-26T03:29:29.113Z,-118.328333,California - Burbank,Burbank,CA,Local,Moratorium on Utility Shutoffs,https://twitter.com/BurbankCA/status/1240031307939205120?s=20,Thru April 6th
2020-03-26T03:29:29.113Z,-117.9859,California - California City,California City,CA,Local,Moratorium on Utility Shutoffs,http://www.desertnews.com/news/article_36c19754-693f-11ea-bc4c-fb89b97b0e28.html,"""Suspended Indefinitely"""
2020-03-26T03:29:29.113Z,-117.3506,California - Carlsbad,Carlsbad,CA,Local,Moratorium on Utility Shutoffs,https://twitter.com/carlsbadcagov/status/1240011041733566465?s=20,
2020-03-26T03:29:29.113Z,-119.033333,California - Carmarillo,Carmarillo,CA,Local,Eviction Moratorium,https://www.vcstar.com/story/news/local/2020/03/19/thousand-oaks-coronavirus-oxnard-ventura-county-cities-halt-evictions/2865264001/,
2020-03-26T03:29:29.113Z,-118.0275,California - El Monte,El Monte,CA,Local,Eviction Moratorium,https://www.sgvtribune.com/2020/03/20/el-monte-approves-60-day-eviction-moratorium-during-coronavirus-crisis/,Thru May 18
2020-03-26T03:29:29.113Z,-122.285278,California - Emeryville,Emeryville,CA,Local,Eviction Moratorium,https://evilleeye.com/news-commentary/breaking-news/city-of-emeryville-passes-temporary-moratorium-on-residential-and-commercial-evictions/,Thru May 31
2020-03-26T03:29:29.113Z,-119.766667,California - Fresno,Fresno,CA,Local,Eviction Moratorium,http://www.fresno.courts.ca.gov/_pdfs/Administrative%20Order%20of%20the%20Presiding%20Judge%20re%20COVID-19%20Pandemic.pdf,No hearings before April 4
2020-03-26T03:29:29.113Z,-118.255,California - Glendale,Glendale,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/GlendaleCoronavirusCOVID19EvictionMoratorium.pdf,Thru March 31
2020-03-26T03:29:29.113Z,-119.813611,California - Goleta,Goleta,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/Goleta-Coronavirus-COVID19-Eviction-Moratorium.pdf,Duration of local emergency
2020-03-26T03:29:29.113Z,-124.163611,California - Humbolt County,Humbolt County,CA,Local,Eviction Moratorium,https://lostcoastoutpost.com/2020/mar/20/arcata-consider-moratorium-evictions-are-related-c/,Sheriff's office not enforcing evictions
2020-03-26T03:29:29.113Z,-118.346111,California - Inglewood,Inglewood,CA,Local,Eviction Moratorium,https://www.cityofinglewood.org/DocumentCenter/View/14118/Executed-Copy---Emergency-Ordinance-COVID19,Thru May 1
2020-03-26T03:29:29.113Z,-118.25,California - Los Angeles,Los Angeles,CA,Local,Eviction Moratorium,https://www.lamayor.org/mayor-garcetti-issues-temporary-restrictions-help-slow-spread-novel-coronavirus-protect-public,Duration of local emergency period
2020-03-26T03:29:29.113Z,-118.25,California - Los Angeles County (unincorporated areas only),Los Angeles County (unincorporated areas),CA,Local,Eviction Moratorium,https://laist.com/latest/post/20200317/coronavirus-los-angeles-public-health-updates-march-17,Thru May 31
2020-03-26T03:29:29.113Z,-118.873611,California - Moorpark,Moorpark,CA,Local,Eviction Moratorium,https://www.mpacorn.com/articles/city-puts-evictions-on-hold-amid-covid-19-crisis/,Thru May 31
2020-03-26T03:29:29.113Z,-119.246667,California - Ojai,Ojai,CA,Local,Eviction Moratorium,http://ojaicity.org/city-orders-a-residential-eviction-moratorium/,Duration of local emergency
2020-03-26T03:29:29.113Z,-119.1825,California - Oxnard,Oxnard,CA,Local,Eviction Moratorium,https://www.vcstar.com/story/news/2020/03/18/oxnard-coronavirus-city-council-update-halt-evictions-waive-utility-fees/5048311002/,Until further notice
2020-03-26T03:29:29.113Z,-116.545278,California - Palm Springs,Palm Springs,CA,Local,Eviction Moratorium,https://www.desertsun.com/story/news/health/2020/03/19/coronavirus-palm-springs-consider-helping-small-businesses-temporarily-halting-evictions/2880251001/,Thru April 2
2020-03-26T03:29:29.113Z,-118.131944,California - Pasadena,Pasadena,CA,Local,Eviction Moratorium,https://www.pasadenastarnews.com/2020/03/17/pasadena-passes-eviction-moratorium-in-response-to-coronavirus/,Duration of state of emergency
2020-03-26T03:29:29.113Z,-118.131944,California - Pasadena,Pasadena,CA,Local,Moratorium on Utility Shutoffs,https://www.pasadenastarnews.com/2020/03/17/pasadena-passes-eviction-moratorium-in-response-to-coronavirus/,Duration of state of emergency
2020-03-26T03:29:29.113Z,-122.347778,California - Richmond,Richmond,CA,Local,Eviction Moratorium,http://astanehelaw.com/wp-content/uploads/2020/03/RichmondCoronavirusCOVID19EvictionMoratorium.pdf,Until further notice
2020-03-26T03:29:29.113Z,-121.494444,California - Sacramento,Sacramento,CA,Local,Eviction Moratorium,https://sacramentocityexpress.com/2020/03/18/city-announces-temporary-ban-on-residential-tenant-evictions/,Thru May 31
2020-03-26T03:29:29.113Z,-117.3,California - San Bernardino,San Bernadino,CA,Local,Eviction Moratorium,https://www.sbsun.com/2020/03/19/coronavirus-concerns-lead-san-bernardino-to-declare-emergency-eviction-moratorium/,Thru March 31
2020-03-26T03:29:29.113Z,-117.3,California - San Bernardino,San Bernadino,CA,Local,Moratorium on Utility Shutoffs,https://www.sbsun.com/2020/03/19/coronavirus-concerns-lead-san-bernardino-to-declare-emergency-eviction-moratorium/,
