year,city,state,population,female,age,hhincome,sanctuary
2005,"akron, oh",oh,700649,1.5141342878341675,37,55000,NA
2005,"albany-schenectady-troy, ny",ny,846357,1.5171470642089844,38,60700,NA
2005,"albuquerque, nm",nm,798722,1.5140869617462158,36,50900,NA
2005,"alexandria, la",la,147128,1.5284479856491089,36,40100,NA
2005,"allentown-bethlehem-easton, pa-nj",pa,786034,1.5175613164901733,40,61000,NA
2005,"altoona, pa",pa,125882,1.514830231666565,40,42150,NA
2005,"amarillo, tx",tx,237767,1.5191000699996948,34,44734,NA
2005,"anchorage, ak",ak,351851,1.497545838356018,34,69360,NA
2005,"ann arbor, mi",mi,343858,1.5012202262878418,33,66000,NA
2005,"anniston-oxford-jacksonville, al",al,NA,1.520522117614746,39,40900,NA
2005,"athens-clarke county, ga",ga,179013,1.4994014501571655,29,43500,NA
2005,"atlanta-sandy springs-roswell, ga",ga,4947012,1.5044801235198975,34,60000,NA
2005,"atlantic city-hammonton, nj",nj,268318,1.5093541145324707,38,56700,NA
2005,"auburn-opelika, al",al,125350,1.5109922885894775,29,42200,NA
2005,"augusta-richmond county, ga-sc",ga,517352,1.5268040895462036,35,47840,NA
2005,"austin-round rock, tx",tx,1464309,1.4925105571746826,32,58500,0
2005,"bakersfield, ca",ca,747315,1.4983508586883545,29,44400,0
2005,"baltimore-columbia-towson, md",md,2649586,1.5181739330291748,37,69000,0
2005,"bangor, me",me,147020,1.5125823020935059,40,43100,NA
2005,"barnstable town, ma",ma,224877,1.5164886713027954,44,66000,NA
2005,"baton rouge, la",la,729886,1.510169506072998,33,50900,NA
2005,"battle creek, mi",mi,138222,1.511498212814331,38,47600,NA
2005,"beaumont-port arthur, tx",tx,380272,1.5116908550262451,36,45800,NA
2005,"bellingham, wa",wa,185356,1.492403268814087,34,51800,NA
2005,"billings, mt",mt,146252,1.500661015510559,40,50000,NA
2005,"binghamton, ny",ny,246776,1.4952534437179565,39,48000,NA
2005,"birmingham-hoover, al",al,1090441,1.5192147493362427,37,50000,NA
2005,"bloomington, il",il,NA,1.5019028186798096,32,62000,NA
2005,"bloomington, in",in,180148,1.4982064962387085,30,43200,NA
2005,"boise city, id",id,543915,1.5023550987243652,33,54100,NA
2005,"boston-cambridge-newton, ma-nh",ma,4458891,1.5130198001861572,37,74300,0
2005,"bremerton-silverdale, wa",wa,235769,1.5009468793869019,36,61800,NA
2005,"bridgeport-stamford-norwalk, ct",ct,891015,1.510791540145874,38,83140,0
2005,"brownsville-harlingen, tx",tx,370735,1.520932674407959,28,24400,NA
2005,"buffalo-cheektowaga-niagara falls, ny",ny,1139328,1.5200611352920532,39,52000,NA
2005,"burlington, nc",nc,139280,1.5261057615280151,36,46600,NA
2005,"burlington-south burlington, vt",vt,205046,1.495137333869934,38,61100,NA
2005,"canton-massillon, oh",oh,407753,1.5111874341964722,38,49600,NA
2005,"cape coral-fort myers, fl",fl,541542,1.504024863243103,42,50500,NA
2005,"champaign-urbana, il",il,218340,1.5226854085922241,30,45600,NA
